ingredient,form,old_bio_score,new_bio_score,delta,old_tier,new_tier,products_using_this_form,prior_evidence_reference,absorption_claim_being_withdrawn,downgrade_reason,clinician_verdict_(11_ok / raise_to / lower_to),clinician_notes
molybdenum,sodium molybdate,12,11,-1,Excellent,Good,342,NONE,88-93%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
potassium,potassium chloride,12,11,-1,Excellent,Good,201,NONE,~90%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
potassium,potassium citrate,13,11,-2,Excellent,Good,130,NONE,~90-94%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
l_tyrosine,l-tyrosine powder,14,11,-3,Excellent,Good,89,NONE,very good (~75-90% via LNAA transporter),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
zinc,zinc amino acid chelate,12,11,-1,Excellent,Good,78,inline PMID/DOI,generic chelate; bisglycinate-class estimate,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
huperzine_a,huperzine a (unspecified),12,11,-1,Excellent,Good,64,inline PMID/DOI,~96% absolute oral bioavailability in humans (PMID 9421157),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
molybdenum,molybdenum glycinate,12,11,-1,Excellent,Good,51,NONE,88-93% (estimated),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
paba,paba powder,12,11,-1,Excellent,Good,42,NONE,good (~70-80%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
l_lysine,l-lysine hcl,12,11,-1,Excellent,Good,37,NONE,~60-80% systemic (20-40% first-pass splanchnic),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
selenium,selenium-methyl L-selenocysteine,13,11,-2,Excellent,Good,35,inline PMID/DOI,"organic Se; absorption comparable to selenomethionine, retained as MeSeCys pool","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_c,ester-C (calcium ascorbate),14,11,-3,Excellent,Good,32,NONE,80%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
inulin,inulin (unspecified),12,11,-1,Excellent,Good,31,inline PMID/DOI,non-digestible β(2→1) fructan; colonic fermentation to SCFA; not systemically absorbed intact,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_c,sodium ascorbate,13,11,-2,Excellent,Good,29,NONE,78%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
l_histidine,l-histidine standard,12,11,-1,Excellent,Good,29,NONE,excellent (~90%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
l_threonine,l-threonine powder,12,11,-1,Excellent,Good,28,NONE,good (~80-90%; significant first-pass gut mucosal utilization),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
calcium,calcium citrate malate,14,11,-3,Excellent,Good,27,NONE,42%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
l_proline,l-proline powder,12,11,-1,Excellent,Good,25,NONE,~55-70% systemic (40% mucosal catabolism),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
krill_oil,standard krill oil,13,11,-2,Excellent,Good,23,inline PMID/DOI,krill PL: F~0.7-0.97 with fat; equivalent to fish-TG at matched dose (Yurko-Mauro 2015),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
molybdenum,molybdenum aspartate,12,11,-1,Excellent,Good,21,NONE,88-93% (estimated; high bioavailability class for soluble Mo chelates),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
5_htp,5-htp (unspecified),14,11,-3,Excellent,Good,19,inline PMID/DOI,aromatic AA decarboxylase substrate; oral F mean 69.2% (Magnussen 1980),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
bacillus_coagulans,bacillus coagulans (unspecified),12,11,-1,Excellent,Good,19,audit-trail pointer only,good spore survivability; strain not specified,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
calcium,calcium malate,13,11,-2,Excellent,Good,18,NONE,40%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
